D1	D2	RR	direction_yes_no	p5years	p.value.direction	AGE_AT_D1	counts	female_counts	CODE_DIFF_DAYS	death_counts
B23	N17	2.00119	1	7.97845521206252e-37	4.221979e-11	16347.67	45	nan	561.82	nan
B23	N18	1.32199	1	1.76382755265839e-17	1.442698e-27	17426.12	42	nan	551.57	nan
B23	N19	1.47453	1	1.41230456164841e-15	3.103815e-11	16781.42	24	nan	710.25	nan
B23	N28	2.04346	1	2.72479871719414e-22	6.840242e-09	nan	nan	nan	nan	nan
B23	N30	1.72326	1	6.29489846334942e-92	5.929369e-12	14750.6	161	74	619.51	43
B23	N39	1.47495	1	1.74460333822823e-35	6.602997e-23	16561.99	73	27	679.73	nan
B23	N87	5.42321	1	0	1.721587e-08	12219.78	154	154	683.08	nan
B23	O92	5.76517	1	1.6999747358868e-180	2.311903e-12	10930.8	95	95	642.25	nan
B25	E89	5.49554	1	6.40588864995168e-35	6.738834e-09	12436.61	31	nan	660.9	nan
B25	H25	2.08563	1	6.80921831013455e-23	2.862404e-12	21871.03	125	65	730.53	38
B25	H26	3.23597	1	1.08909029706195e-30	3.102034e-08	14545.82	57	21	714.16	nan
B25	L57	7.79841	1	1.12182228600232e-36	1.090321e-11	22495.44	34	nan	722.5	nan
B25	M85	2.39808	1	2.56359528259706e-15	2.8923e-09	18066.32	72	38	705.6	nan
B27	J35	2.01698	1	2.25979162558451e-181	2.325043e-60	5732.7	1546	890	454.95	nan
B34	A38	1.65827	1	9.9801722492173e-24	4.889421e-18	791.44	327	157	606.03	nan
B34	A49	1.20079	1	5.97855112659851e-13	2.110005e-21	10599.04	1201	524	483.06	180
B34	A68	2.20031	1	2.71382392705326e-43	2.791168e-11	2988.92	236	102	518.87	nan
B34	B00	1.522	1	8.70540486658569e-24	1.066482e-08	4186.41	506	257	441.92	nan
B34	B01	1.34393	1	3.81712658412052e-26	8.633078e-12	800.4	997	415	492.95	26
B34	B27	1.68974	1	7.7514408051406e-46	3.563966e-30	5256.64	673	317	374.22	nan
B34	D83	1.69824	1	4.44786975519584e-21	1.407381e-12	1976.99	158	63	507.04	nan
B34	D84	1.63656	1	3.49312981402893e-44	1.35113e-37	1901.3	455	200	487.14	nan
B34	F72	1.69166	1	5.27747393520827e-16	1.276929e-13	1192.37	95	40	807.67	nan
B34	F79	1.27918	1	8.03319908433623e-10	8.053177e-38	1781.87	296	134	784.74	23
B34	H00	1.31005	1	1.98827754593506e-10	5.139553e-18	4121.89	459	240	723.13	nan
B34	H01	1.58382	1	1.26386701433689e-12	3.47237e-13	7032.98	209	104	621.05	nan
B34	H60	1.46592	1	8.31721727716678e-27	1.085743e-17	5346.73	601	304	589.89	nan
B34	H92	1.63129	1	2.08279868703514e-42	2.370043e-59	2485.81	767	366	634.37	nan
B34	J01	2.08101	1	1.25063709536169e-94	4.951445e-16	9849.32	752	459	469.68	25
B34	J03	1.60623	1	4.94065645841247e-324	1.614998e-143	2493.44	7827	3550	534.69	120
B34	J06	1.50059	1	4.94065645841247e-324	1.023129e-48	1672.81	8545	3985	382.46	130
B34	J09	1.53035	1	7.52917655796296e-17	1.222754e-34	6825.05	320	152	502.94	nan
B34	J10	1.35959	1	2.71123205272458e-12	1.215734e-24	5980.62	378	160	455.05	nan
B34	J15	1.16385	1	5.80909425027002e-17	6.827548e-62	8618.71	2096	977	520.79	336
B34	K12	1.41827	1	2.16040524337039e-23	2.565824e-10	2349.1	717	330	400.58	nan
B34	L08	1.29918	1	7.6765868910933e-30	5.409503e-42	5633.83	1511	680	675.1	58
B34	L50	1.44246	1	3.69922407676263e-65	4.113623e-13	3190.42	1887	911	485.16	35
B34	M35	1.21896	1	7.91727785596393e-11	3.202724e-19	8632.36	698	426	613.72	43
B34	N12	1.38167	1	5.68980441930947e-15	1.472756e-11	4203.91	451	334	491.58	nan
B34	N30	1.27691	1	6.32394262000456e-67	5.472083e-16	9629.32	3422	2650	633.72	350
B34	N39	1.12738	1	1.67045626999999e-12	2.039361e-24	10410.12	2243	1551	592.19	314
B35	A41	1.53189	1	2.34435856861224e-13	9.414332e-09	24581.91	245	87	602.23	154
B35	E86	1.42429	1	6.48657629849088e-10	1.177746e-07	25735.58	228	105	597.98	146
B90	J15	2.67143	1	1.74346981460136e-48	8.888515e-14	25375.5	139	70	508.37	95
B90	J96	4.64463	1	6.80332876259647e-185	4.657172e-29	26004.15	226	135	488.09	169
B91	G09	111.78	1	7.61288955444818e-318	6.944278e-09	22701.84	50	nan	1087.62	nan
B91	G14	354.331	1	0	5.552446e-26	23884.67	54	26	743.3	nan
B91	J18	1.27984	1	2.21059272871905e-19	4.660407e-20	26214.02	317	157	600.79	201
B91	J96	6.69961	1	0	5.42552e-13	23459.13	291	158	525.16	121
B91	L89	2.16904	1	8.62380229498588e-17	4.951587e-11	25891.2	50	27	535.38	30
B91	M19	1.61058	1	2.05277552119139e-15	4.632528e-08	23528.3	109	65	757.48	nan
B91	M81	1.5997	1	6.39393175155003e-28	4.153116e-12	25353.83	149	124	758.62	35
B91	N30	1.41699	1	2.70567686179455e-22	4.588971e-09	26341.44	232	128	641.48	113
C00	L57	6.76519	1	6.47896605890442e-74	4.941736e-09	26022.24	58	22	576.64	nan
C01	A49	1.65827	1	3.4201691509506e-10	7.851309e-09	22488.78	46	nan	415.43	26
